product_name,reviewer_name,rating,review_date,text
"Smartphone X Pro","John D.",5,"2023-05-15","This is the best smartphone I've ever owned! The camera quality is amazing and the battery lasts all day. Highly recommend it to anyone looking for a premium device."
"Smartphone X Pro","Sarah M.",4,"2023-05-18","Great phone overall. The display is beautiful and performance is excellent. Only giving 4 stars because the price is a bit high."
"Smartphone X Pro","Michael T.",3,"2023-05-20","Decent phone but not worth the premium price. Camera is good but not as amazing as advertised. Battery life is average at best."
"Smartphone X Pro","Emily R.",5,"2023-05-22","Absolutely love this phone! The user interface is intuitive and the performance is lightning fast. Worth every penny!"
"Smartphone X Pro","David K.",2,"2023-05-25","Disappointed with this purchase. The phone overheats frequently and the battery drains quickly. Customer service was unhelpful when I reported the issues."
"Smartphone X Pro","Jessica L.",4,"2023-05-28","Very good phone with excellent features. The camera is outstanding and the screen is beautiful. Taking off one star because it's a bit heavy."
"Smartphone X Pro","Robert P.",5,"2023-06-01","Perfect phone in every way! Fast, reliable, great camera, and excellent battery life. Couldn't ask for more."
"Smartphone X Pro","Amanda S.",3,"2023-06-03","It's an okay phone. Nothing special that justifies the high price tag. There are better options available for less money."
"Smartphone X Pro","Thomas B.",4,"2023-06-05","Really enjoying this phone. The camera takes amazing photos and the screen is crystal clear. Only complaint is that it's a bit slippery without a case."
"Smartphone X Pro","Jennifer W.",1,"2023-06-08","Terrible experience. Phone crashed multiple times in the first week and the battery life is awful. Returning it for a refund."
"Wireless Earbuds Pro","Alex J.",5,"2023-05-10","These earbuds are amazing! The sound quality is crystal clear and the noise cancellation works perfectly. Battery life exceeds expectations."
"Wireless Earbuds Pro","Melissa R.",4,"2023-05-12","Great earbuds with excellent sound. Comfortable to wear for long periods. Only complaint is that the case is a bit bulky."
"Wireless Earbuds Pro","Chris T.",2,"2023-05-15","Disappointed with these earbuds. They keep disconnecting and the battery doesn't last as long as advertised. Not worth the price."
"Wireless Earbuds Pro","Sophia L.",5,"2023-05-18","Absolutely love these! The sound quality is incredible and they fit perfectly in my ears. The noise cancellation is a game changer for my commute."
"Wireless Earbuds Pro","Daniel M.",3,"2023-05-20","Decent earbuds but nothing special. Sound quality is good but not great. Battery life is as advertised. There are better options at this price point."
"Wireless Earbuds Pro","Olivia P.",4,"2023-05-23","Very happy with my purchase. The earbuds are comfortable and the sound quality is excellent. The app could use some improvements though."
"Wireless Earbuds Pro","Nathan S.",5,"2023-05-25","Best earbuds I've ever owned! Perfect fit, amazing sound quality, and the battery lasts forever. Worth every penny!"
"Wireless Earbuds Pro","Emma B.",1,"2023-05-28","Terrible product. One earbud stopped working after just two weeks. Customer service was unhelpful and refused to replace them."
"Wireless Earbuds Pro","William K.",4,"2023-06-01","Really good earbuds with excellent sound quality. The noise cancellation works well in most environments. Taking off one star because they're a bit expensive."
"Wireless Earbuds Pro","Grace H.",3,"2023-06-03","These are okay earbuds. Sound quality is decent but not as good as some competitors. The fit is comfortable though and battery life is good."
"Smart Watch Series 5","Ryan M.",5,"2023-05-05","This smart watch exceeds all my expectations! The fitness tracking is accurate, battery lasts for days, and it looks stylish. Highly recommend!"
"Smart Watch Series 5","Lauren T.",4,"2023-05-08","Great smart watch with lots of useful features. The screen is bright and responsive. Only giving 4 stars because the app can be buggy at times."
"Smart Watch Series 5","James P.",2,"2023-05-10","Not impressed with this smart watch. The fitness tracking is inaccurate and the battery life is much shorter than advertised. Save your money."
"Smart Watch Series 5","Ava S.",5,"2023-05-13","Love my new smart watch! It's comfortable to wear all day and the health tracking features are amazing. The sleep tracking has been eye-opening!"
"Smart Watch Series 5","Ethan B.",3,"2023-05-15","It's an okay smart watch. Does the basics well but nothing revolutionary. Battery life is decent but not as good as competitors."
"Smart Watch Series 5","Zoe W.",4,"2023-05-18","Very happy with this purchase. The watch looks professional enough for work but has all the fitness features I need. The notifications are useful without being intrusive."
"Smart Watch Series 5","Benjamin L.",5,"2023-05-20","Excellent smart watch! The screen is beautiful, the interface is intuitive, and the battery lasts much longer than my previous watch. Worth the upgrade!"
"Smart Watch Series 5","Chloe R.",1,"2023-05-23","Terrible experience. The watch stopped syncing after one week and customer support couldn't resolve the issue. Waste of money."
"Smart Watch Series 5","Noah K.",4,"2023-05-25","Really good smart watch with excellent build quality. The fitness tracking is accurate and the sleep analysis is helpful. Taking off one star because it's a bit expensive."
"Smart Watch Series 5","Lily J.",3,"2023-05-28","Decent smart watch but nothing special. It does what it's supposed to do but doesn't stand out from the competition. The battery life is average."
